"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"151","110082579","315","197403.85820572","544996.31225604","000324","52201","N","20230120120004"
"152","110082581","317","197117.59794187","543750.60396062","000322","52201","N","20230207120026"
"153","110082582","318","195890.40002899","544159.42671234","000323","52201","N","20230216120041"
"154","110082583","319","194149.43361367","544120.68758035","000317","52201","N","20230209120003"
"155","110082584","320","195279.59990455","544707.71738627","000316","52201","N","20230209120003"
"156","110082586","322","192277.73155820","543206.03073016","000326","52201","N","20230109120013"
"157","110082588","324","194793.29168945","544387.73815043","000327","52201","N","20230208120008"
"158","110082590","325","192175.61633124","543426.68534138","000329","52201","N","20230110120029"
"159","110082591","326","196209.74825217","545340.45208769","000333","52201","N","20230216120041"
"160","110082592","327","196842.75203414","544866.57137529","000335","52201","N","20230210120006"
"161","110082593","328","194529.25808283","544193.48136627","000331","52201","N","20230208120008"
"162","110082595","329","197357.68168864","542296.77640225","000332","52201","N","20230216120041"
"163","110081482","331","204978.68511177","557345.99412825","44","52201","N","20230217120025"
"164","110081483","332","203159.22325411","555594.24057399","45","52201","N","20230107120004"
"165","110081484","333","200025.76589243","556223.01525998","46","52201","N","20230111120005"
"166","110081485","334","200238.42654723","556681.23793882","47","52201","N","20230217120025"
"167","110081486","335","204100.65798048","556918.89539562","48","52201","N","20230213120021"
"168","110081489","338","200671.54040355","555544.52924481","63","52201","N","20230117120003"
"169","110081490","339","202923.33600829","554919.28931629","64","52201","N","20230215120054"
"170","110081492","341","204031.07645493","557048.81521098","66","52201","N","20230119120008"
"171","110081493","342","203178.78469968","556311.11542109","67","52201","N","20230204120010"
"172","110081494","343","205372.77929175","556614.14677799","68","52201","N","20230211120001"
"173","110081495","344","203011.56957382","555226.06815850","69","52201","N","20230214120039"
"174","110081497","346","202919.88559680","555283.09126267","71","52201","N","20230214120039"
"175","110081498","347","204419.31714621","556344.54224352","136","52201","N","20230202120009"
"176","110081499","348","200460.92118605","555466.78592176","73","52201","N","20230114120003"
"177","110081500","349","201135.75898166","553938.87435658","74","52201","N","20230215120054"
"178","110081501","350","204490.83669234","556181.81348583","75","52201","N","20230202120009"
"179","110080567","657","196542.31202779","552357.13904805","122","52201","N","20230216120041"
"180","110080570","660","196412.15333568","556110.06303582","5-23","52201","N","20230212120018"
"181","110082441","1012","188131.86865308","549378.95037684","039","52201","N","20230216120041"
"182","110081347","4","191151.27971645","544260.96746467","000002","52201","N","20230209120003"
"183","110081348","5","192234.11031131","545309.82384527","000008","52201","N","20230213120021"
"184","110081349","7","193209.82300474","546064.18599027","000010","52201","N","20230211120001"
"185","110081356","10","191553.53379803","548293.29813259","000022","52201","N","20220925120015"
"186","110081358","12","190925.55268388","543452.62613318","000027","52201","N","20230119120008"
"187","110081354","13","192639.37982414","545643.77257635","000016","52201","N","20230216120041"
"188","110085223","0","204282.05684517","548578.12407512","000017","52201","N","20230205120012"
"189","110081360","15","191079.42822822","543470.08054783","000029","52201","N","20230119120008"
"190","110081361","16","191100.49702638","543568.06149503","000030","52201","N","20230119120008"
"191","110081362","17","190740.61455756","543921.12865130","000031","52201","N","20230209120003"
"192","110081364","18","191508.94498899","543508.13401132","000033","52201","N","20230209120003"
"193","110081368","20","191743.02750193","546872.54708227","000018","52201","N","20230113120005"
"194","110081370","21","193053.51740197","545700.71366513","000023","52201","N","20230213120021"
"195","110081371","22","191506.43420028","545135.48219825","000005","52201","N","20230215120054"
"196","110081373","23","191722.26103005","545748.25876845","000035","52201","N","20230115120014"
"197","110081375","24","190371.38107622","546076.23276159","000047","52201","N","20230216120041"
"198","110081377","26","191630.41802149","546809.40032599","000038","52201","N","20230113120005"
"199","110081379","28","191880.00911372","546692.27533285","000040","52201","N","20230113120005"
"200","110081380","29","191880.60930812","546801.18636278","000041","52201","N","20230113120005"
"201","110081970","30","186257.65586166","544459.56896016","000017","52201","N","20230106120005"
"202","110081967","31","186727.20305905","545128.16949516","000015","52201","N","20230106120005"
"203","110081971","32","190610.44250243","540600.79180865","000018","52201","N","20230119120008"
"204","110081972","33","189495.22346316","543066.47133615","000022","52201","N","20230208120008"
"205","110081974","35","192331.53398762","539305.65785768","000020","52201","N","20230214120039"
"206","110081976","37","188119.45178185","544877.86214066","000023","52201","N","20230210120006"
"207","110081979","39","191599.81092270","541711.41062026","000024","52201","N","20230119120008"
"208","110081980","40","189848.79585750","543271.62641401","000027","52201","N","20230219120021"
"209","110081983","43","186888.98645792","543573.78716586","000042","52201","N","20230130120010"
"210","110081985","45","190039.28659146","543199.00200830","000047","52201","N","20230208120008"
"211","110081986","46","189477.44331733","544146.44439482","000046","52201","N","20230208120008"
"212","110081987","47","190026.68758164","543302.47908049","000051","52201","N","20230208120008"
"213","110081992","51","189938.35450674","543330.98213167","000031","52201","N","20230208120008"
"214","110081993","52","190099.52780198","543266.73225449","000032","52201","N","20230208120008"
"215","110081994","53","191184.23839673","541572.78808459","000033","52201","N","20230119120008"
"216","110081996","55","190067.39117341","542687.02902227","000025","52201","N","20230110120029"
"217","110081998","57","190177.64424970","542918.54486162","000026","52201","N","20230215120054"
"218","110082002","60","191235.38662180","541864.09201859","000043","52201","N","20230119120008"
"219","110082003","61","191562.06791068","541234.05174745","000054","52201","N","20230209120003"
"220","110082007","64","187010.18794423","544729.73785442","000057","52201","N","20230106120005"
"221","110082009","65","190076.97409566","543688.62639775","000045","52201","N","20230215120054"
"222","110082011","67","192278.57369395","540242.65267078","000063","52201","N","20230208120008"
"223","110082012","68","191254.81686352","541706.26620593","000061","52201","N","20230209120003"
"224","110082013","69","190821.04921418","540557.66539168","000062","52201","N","20230209120003"
"225","110082014","70","190326.42295882","543609.39391603","000071","52201","N","20221216120028"
"226","110082015","71","188187.03182730","544785.72082267","000075","52201","N","20230210120006"
"227","110082017","72","189626.87622008","543278.37650774","000072","52201","N","20230208120008"
"228","110082021","74","191185.99990784","540077.12897595","000065","52201","N","20230209120003"
"229","110082022","75","191223.79414613","540393.93754649","000068","52201","N","20230209120003"
"230","110082024","77","192230.38106005","539376.60143092","000066","52201","N","20230214120039"
"231","110081912","78","201514.23930561","558010.92030181","431","52201","N","20230124120011"
"232","110081913","79","202145.54189324","557821.50802382","304","52201","N","20230212120018"
"233","110081914","80","202828.59067674","557747.43409561","317","52201","N","20230219120021"
"234","110081915","81","202828.58467928","558499.61262964","324","52201","N","20230219120021"
"235","110081917","83","203310.25837576","563144.03395689","80","52201","N","20230111120005"
"236","110081918","84","203940.30282867","564861.63390618","91","52201","N","20230211120001"
"237","110081920","85","204057.28570274","563786.35983162","96","52201","N","20230214120039"
"238","110081921","86","203962.51948343","563945.68981190","103","52201","N","20230214120039"
"239","110081922","87","203596.93471616","565561.31784050","106","52205","N","20230211120001"
"240","110081923","88","202999.66018284","562842.70468603","107","52201","N","20230111120005"
"241","110081926","90","201383.25962490","558948.87072725","432","52201","N","20230130120010"
"242","110082368","133","195875.00118318","544536.55806721","000005","52201","N","20230117120003"
"243","110082383","135","194342.05366072","545508.53108721","000030","52201","N","20230209120003"
"244","110082369","137","193295.16472552","542693.34774988","000003","52201","N","20230218120027"
"245","110082370","138","194619.66131470","543297.36371542","000029","52201","N","20230110120029"
"246","110082385","139","196117.51390801","545740.82353199","000033","52201","N","20230215120054"
"247","110082386","140","197303.28858717","542493.10577196","000034","52201","N","20230215120054"
"248","110082387","141","197296.74750073","543073.16414185","000035","52201","N","20230118120006"
"249","110082388","142","197970.02298737","543753.69528821","000038","52201","N","20230113120005"
"250","110082389","143","195430.94109648","543159.73988013","000041","52201","N","20230207120026"
"251","110081234","146","199642.48819974","547057.18278939","000062","52201","N","20230210120006"
"252","110081236","148","198834.50746619","549572.81101974","000072","52201","N","20230217120025"
"253","110081237","149","196450.69718022","548478.94305602","000074","52201","N","20230120120004"
"254","110081238","150","197744.47696637","549685.90412680","000075","52201","N","20230209120003"
"255","110081240","151","198632.36726672","549121.99577052","000077","52201","N","20230217120025"
"256","110081241","152","200179.63450547","547637.75092073","000078","52201","N","20220525120005"
"257","110081244","154","196768.54172358","550248.59595597","000081","52201","N","20230115120014"
"258","110081245","155","197061.64922714","547539.17937823","000082","52201","N","20230215120054"
"259","110081246","156","197796.50119258","550337.36385269","000083","52201","N","20230125120009"
"260","110081247","157","200210.89224767","547893.57129869","000084","52201","N","20230211120001"
"261","110081248","158","199779.56661023","547453.00714961","000085","52201","N","20220525120005"
"262","110081249","159","198557.11825637","549812.78070402","000086","52201","N","20230110120029"
"263","110081252","162","197747.99939186","548588.24164781","000089","52201","N","20230215120054"
"264","110081254","164","199765.03987109","547540.93956005","000091","52201","N","20220525120005"
"265","110081255","165","197830.31724100","550368.85022263","000092","52201","N","20230125120009"
"266","110081256","166","198513.02697825","549575.34129120","000093","52201","N","20230217120025"
"267","110081258","167","198693.36956933","549424.88118735","000097","52201","N","20230217120025"
"268","110081259","168","199988.97668030","548101.84158801","000095","52201","N","20230211120001"
"269","110081262","171","200465.49572828","547766.20766830","000103","52201","N","20230211120001"
"270","110081263","172","197047.95357479","550364.73178489","000106","52201","N","20230115120014"
"271","110081264","173","197073.50864568","549865.53585153","000109","52201","N","20230204120010"
"272","110081265","174","199498.25693127","549044.51847717","000110","52201","N","20230122120013"
"273","110081266","175","200228.77138844","548777.57790758","000099","52201","N","20230211120001"
"274","110081267","176","198862.39180508","549253.49284378","000100","52201","N","20230217120025"
"275","110081269","177","198538.40201662","549376.86404851","000102","52201","N","20230217120025"
"276","110081270","178","199727.40136523","547209.28506692","000104","52201","N","20230211120001"
"277","110081274","181","199352.98053938","548425.04417828","000133","52201","N","20230122120013"
"278","110081275","182","196894.79127846","546982.70294445","000134","52201","N","20230214173523"
"279","110081276","183","197060.25504831","550193.35544212","000135","52201","N","20230115120014"
"280","110081277","184","205439.54726609","554219.59842948","061","52201","N","20230129120013"
"281","110081278","185","203507.92717455","554348.18555875","062","52201","N","20230127120020"
"282","110081279","186","205548.16726977","554081.23261840","063","52201","N","20230129120013"
"283","110081281","188","204158.48288746","554320.43021412","065","52205","N","20230213120021"
"284","110081282","189","204193.37115775","554268.18455944","066","52201","N","20230213120021"
"285","110081283","190","203180.99685103","553530.86968741","067","52201","N","20230116120007"
"286","110081284","191","205318.92665893","553169.86285037","069(2642)","52201","N","20230116120007"
"287","110081549","194","199533.48614352","556623.53676139","87","52201","N","20230108120017"
"288","110081533","195","201001.59192306","557134.78549730","168","52201","N","20230215120054"
"289","110081551","196","203815.85388014","556894.97883334","89","52201","N","20230213120021"
"290","110081535","198","200704.83239014","556053.32971552","171","52201","N","20230209120003"
"291","110081537","199","202422.01982364","556813.09897513","174","52201","N","20230114120003"
"292","110081538","200","202963.44731851","556627.50319259","175","52201","N","20230113120005"
"293","110081539","201","202377.08793876","556885.03482893","176","52201","N","20230210120006"
"294","110081540","202","199888.70067398","556417.37668967","177","52201","N","20230108120017"
"295","110081541","203","200179.28446621","557270.97107706","178","52201","N","20230210120006"
"296","110081543","205","202003.29014212","554936.91667316","144","52201","N","20230214120039"
"297","110081544","206","203992.04297570","556907.32015567","151","52201","N","20230213120021"
"298","110081545","207","200167.84408414","554623.86768603","163","52201","N","20230210120006"
"299","110081547","209","200775.91089995","555650.31056947","170","52201","N","20230209120003"
"300","110081552","210","199932.18353877","557329.27254209","90","52201","N","20230211120001"
"301","110081553","211","200755.09009816","555599.91383670","91","52201","N","20230209120003"
"302","110081555","213","199403.62059623","554726.88371251","93","52201","N","20230210120006"
